Mon_Year,Spices,Location,Grade,Price
Dec-22,NUTMEG (WITH SHELL),COCHIN,,290
Jan-23,NUTMEG (WITH SHELL),COCHIN,,297.83
Feb-23,NUTMEG (WITH SHELL),COCHIN,,291.8
Mar-23,NUTMEG (WITH SHELL),COCHIN,,281.29
Apr-23,NUTMEG (WITH SHELL),COCHIN,,252.16
May-23,NUTMEG (WITH SHELL),COCHIN,,257.96
Jun-23,NUTMEG (WITH SHELL),COCHIN,,234.61
Jul-23,NUTMEG (WITH SHELL),COCHIN,,224.48
Aug-23,NUTMEG (WITH SHELL),COCHIN,,230.51
Sep-23,NUTMEG (WITH SHELL),COCHIN,,221.72
Oct-23,NUTMEG (WITH SHELL),COCHIN,,220
Nov-23,NUTMEG (WITH SHELL),COCHIN,,221.37
Dec-23,NUTMEG (WITH SHELL),COCHIN,,230
Jan-21,NUTMEG (WITHOUT SHELL},COCHIN,,516.73
Feb-21,NUTMEG (WITHOUT SHELL},COCHIN,,551.04
Mar-21,NUTMEG (WITHOUT SHELL},COCHIN,,561.2
Apr-21,NUTMEG (WITHOUT SHELL},COCHIN,,526.31
May-21,NUTMEG (WITHOUT SHELL},COCHIN,,479.16
Jun-21,NUTMEG (WITHOUT SHELL},COCHIN,,473.84
Jul-21,NUTMEG (WITHOUT SHELL},COCHIN,,504.42
Aug-21,NUTMEG (WITHOUT SHELL},COCHIN,,486.95
Sep-21,NUTMEG (WITHOUT SHELL},COCHIN,,452.39
Oct-21,NUTMEG (WITHOUT SHELL},COCHIN,,531.81
Nov-21,NUTMEG (WITHOUT SHELL},COCHIN,,555
Dec-21,NUTMEG (WITHOUT SHELL},COCHIN,,564
